City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,purranque,-40.9167,-73.1667,54.73,95,100,8.14,CL,1689867312
294,constantia,44.1833,28.65,92.08,59,39,13.76,RO,1689867428
295,kidal,18.4411,1.4078,105.21,17,39,14.9,ML,1689867264
296,page,36.9147,-111.4558,88.11,26,0,5.99,US,1689867497
297,kavieng,-2.5744,150.7967,81.01,80,73,8.43,PG,1689867497
298,airdrie,55.866,-3.9803,61.36,75,91,9.75,GB,1689867497
299,mcdonough,40.4667,-90.6668,86.0,74,0,6.91,US,1689867237
300,san miguel,13.4833,-88.1833,89.08,57,0,4.61,SV,1689867498
301,pacific grove,36.6177,-121.9166,55.08,96,100,10.0,US,1689867414
302,arraial do cabo,-22.9661,-42.0278,73.26,60,75,12.66,BR,1689867498
303,luanda,-8.8368,13.2343,75.2,78,20,11.5,AO,1689867246
304,vorzel',50.5444,30.153,61.93,95,93,5.12,UA,1689867498
305,camiri,-20.05,-63.5167,67.78,56,0,0.0,BO,1689867498
306,ves'yegonsk,58.664,37.2604,63.23,71,98,10.36,RU,1689867498
307,san patricio,28.017,-97.5169,91.49,44,70,11.68,US,1689867498
308,palikir - national government center,6.9248,158.1611,77.74,94,100,0.0,FM,1689867499
309,traverse city,44.7631,-85.6206,67.84,94,100,9.22,US,1689867499
310,yingkou,40.6648,122.2283,77.02,68,56,6.33,CN,1689867499
311,mahina,-17.5065,-149.489,74.97,60,75,17.27,PF,1689867431
312,mandalgovi,45.7625,106.2708,58.5,75,99,9.82,MN,1689867499
313,nacozari viejo,30.4,-109.65,82.76,45,15,2.06,MX,1689867499
314,pathein,16.7833,94.7333,76.24,96,99,5.26,MM,1689867500
315,constitucion,-35.3333,-72.4167,58.14,78,100,13.58,CL,1689867500
316,upington,-28.4478,21.2561,64.78,19,0,3.44,ZA,1689867500
317,labytnangi,66.6572,66.4183,69.94,75,91,10.11,RU,1689867500
318,ulladulla,-35.35,150.4667,51.71,51,54,8.12,AU,1689867500
319,oodweyne,9.4092,45.064,84.47,36,100,23.09,SO,1689867500
320,vorgashor,67.5833,63.95,71.56,70,93,6.6,RU,1689867501
321,banda aceh,5.5577,95.3222,80.76,79,54,14.83,ID,1689867377
322,luderitz,-26.6481,15.1594,61.9,52,0,16.8,NA,1689867501
323,arteche,12.2645,125.4048,78.24,88,93,2.64,PH,1689867501
324,kani keli,-12.9536,45.1033,78.06,76,85,12.12,YT,1689867501
325,chulakkurgan,43.765,69.1814,84.52,21,0,11.21,KZ,1689867501
326,kota kinabalu,5.9749,116.0724,78.78,94,20,8.05,MY,1689867502
327,zhezqazghan,47.7833,67.7667,86.29,23,38,7.76,KZ,1689867435
328,toliara,-23.35,43.6667,71.26,75,41,15.59,MG,1689867502
329,talara,-4.5772,-81.2719,79.56,69,0,18.41,PE,1689867502
330,chibougamau,49.9168,-74.3659,64.02,63,75,5.64,CA,1689867502
331,kudahuvadhoo,2.6708,72.8944,83.08,74,36,9.66,MV,1689867502
332,fiambala,-27.6871,-67.6149,78.22,9,2,3.62,AR,1689867502
333,mokhsogollokh,61.4681,128.9203,52.99,99,100,4.79,RU,1689867503
334,langtoucun,40.0261,124.3286,72.34,83,23,1.59,CN,1689867503
335,magong,23.5654,119.5863,83.43,83,95,13.15,TW,1689867503
336,sanandaj,35.3144,46.9923,96.82,8,20,4.61,IR,1689867503
337,amga,60.8953,131.9608,55.98,99,100,6.02,RU,1689867503
338,turtas,58.9417,69.1325,65.35,89,96,3.18,RU,1689867504
339,rabaul,-4.1967,152.1721,78.28,84,69,8.75,PG,1689867504
